County_FIPS,Unemployment_Rate,,,,,
13261,8.6,,,,,
13263,6.9,,,,,
13265,10.3,,,,,
13267,6.6,,,,,
13269,10.2,,,,,
13271,10.5,,,,,
13273,7.2,,,,,
13275,7.6,,,,,
13277,6.6,,,,,
13279,9.4,,,,,
13281,7.9,,,,,
13283,10.2,,,,,
13285,6.5,,,,,
13287,6.8,,,,,
13289,9.8,,,,,
13291,5.5,,,,,
13293,8.4,,,,,
13295,6.2,,,,,
13297,5.7,,,,,
13299,7.2,,,,,
13301,9.2,,,,,
13303,7.4,,,,,
13305,7.9,,,,,
13307,6.8,,,,,
13309,12.1,,,,,
13311,5.4,,,,,
13313,7.1,,,,,
13315,8.6,,,,,
13317,8.6,,,,,
13319,7.5,,,,,
13321,6.8,,,,,
15001,5.1,,,,,
15003,3.9,,,,,
15007,4.6,,,,,
15009,4.2,,,,,
16001,3.7,,,,,
16003,8.1,,,,,
16005,4.3,,,,,
16007,4.1,,,,,
16009,7,,,,,
16011,4.2,,,,,
16013,4.2,,,,,
16015,5.4,,,,,
16017,6.5,,,,,
16019,3.8,,,,,
16021,5.5,,,,,
16023,4.5,,,,,
16025,4.6,,,,,
16027,5.3,,,,,
16029,4.1,,,,,
16031,4,,,,,
16033,3.6,,,,,
16035,7.6,,,,,
16037,7,,,,,
16039,4.9,,,,,
16041,3.5,,,,,
16043,3.5,,,,,
16045,5.2,,,,,
16047,3.4,,,,,
16049,6.6,,,,,
16051,3.5,,,,,
16053,3.7,,,,,
16055,5.2,,,,,
16057,3.6,,,,,
16059,6.9,,,,,
16061,4.1,,,,,
16063,4.9,,,,,
16065,3,,,,,
16067,4.3,,,,,
16069,3.9,,,,,
16071,4.2,,,,,
16073,3.4,,,,,
16075,4.7,,,,,
16077,4.7,,,,,
16079,8.9,,,,,
16081,4.9,,,,,
16083,4,,,,,
16085,7.1,,,,,
16087,5.7,,,,,
17001,4.9,,,,,
17003,8.9,,,,,
17005,5.7,,,,,
17007,6.5,,,,,
17009,3.6,,,,,
17011,6.4,,,,,
17013,7.5,,,,,
17015,5,,,,,
17017,6.1,,,,,
17019,5.4,,,,,
17021,6.8,,,,,
17023,6.2,,,,,
17025,7.2,,,,,
17027,4.8,,,,,
17029,5.9,,,,,
17031,6.1,,,,,
17033,5.8,,,,,
17035,5.2,,,,,
17037,5.6,,,,,
17039,5.7,,,,,
17041,5.2,,,,,
17043,4.7,,,,,
17045,6.4,,,,,
17047,5.4,,,,,
17049,4.9,,,,,
17051,6.7,,,,,
17053,5,,,,,
17055,8.4,,,,,
17057,7.3,,,,,
17059,7.1,,,,,
17061,6.1,,,,,
17063,6.4,,,,,
17065,5.2,,,,,
17067,5.5,,,,,
17069,7.7,,,,,
17071,5,,,,,
17073,6.1,,,,,
17075,5.3,,,,,
17077,6,,,,,
17079,5.7,,,,,
17081,6.8,,,,,
17083,6.5,,,,,
17085,5.3,,,,,
17087,8.7,,,,,
17089,6,,,,,
17091,6.9,,,,,
17093,5,,,,,
17095,6.2,,,,,
17097,5.6,,,,,
17099,7.1,,,,,
17101,6.4,,,,,
17103,5.5,,,,,
17105,5.3,,,,,
17107,5.7,,,,,
17109,6,,,,,
17111,5.1,,,,,
17113,5,,,,,
17115,7.4,,,,,
17117,6.6,,,,,
17119,6.4,,,,,
17121,7.2,,,,,
17123,6.2,,,,,
17125,7.4,,,,,
17127,7.3,,,,,
17129,5.2,,,,,
17131,5.8,,,,,
17133,4.8,,,,,
17135,8,,,,,
17137,5.5,,,,,
17139,4.6,,,,,
17141,6.4,,,,,
17143,6.8,,,,,
17145,7.6,,,,,
17147,5,,,,,
17149,4.9,,,,,
17151,6.9,,,,,
17153,8.9,,,,,
17155,6.5,,,,,
17157,5.9,,,,,
17159,6.2,,,,,
17161,6.4,,,,,
17163,7.1,,,,,
17165,7.2,,,,,
17167,5.6,,,,,
17169,5.8,,,,,
17171,6,,,,,
17173,6.2,,,,,
17175,6.5,,,,,
17177,6.7,,,,,
17179,6,,,,,
17181,7.6,,,,,
17183,7.3,,,,,
17185,5.2,,,,,
17187,5,,,,,
17189,4.1,,,,,
17191,6.3,,,,,
17193,5.4,,,,,
17195,6.2,,,,,
17197,6,,,,,
17199,6.6,,,,,
17201,7.3,,,,,
17203,5,,,,,
18001,4.7,,,,,
18003,5.6,,,,,
18005,4.4,,,,,
18007,5.2,,,,,
18009,7.2,,,,,
18011,4.5,,,,,
18013,5.8,,,,,
18015,5.1,,,,,
18017,5.8,,,,,
18019,5.3,,,,,
18021,6.5,,,,,
18023,5.2,,,,,
18025,7.1,,,,,
18027,4.7,,,,,
18029,6.1,,,,,
18031,5,,,,,
18033,5.3,,,,,
18035,6.8,,,,,
18037,4.3,,,,,
18039,5.1,,,,,
18041,8,,,,,
18043,5,,,,,
18045,6.9,,,,,
18047,6.3,,,,,
18049,5.9,,,,,
18051,4.6,,,,,
18053,6.8,,,,,
18055,7.4,,,,,
18057,4.3,,,,,
18059,5.2,,,,,
18061,5.5,,,,,
18063,4.8,,,,,
18065,6.7,,,,,
18067,6.3,,,,,
18069,5.5,,,,,
18071,5.1,,,,,
18073,6.7,,,,,
18075,5.7,,,,,
18077,5.9,,,,,
18079,6.5,,,,,
18081,5.1,,,,,
18083,5.4,,,,,
18085,5.2,,,,,
18087,4.7,,,,,
18089,7.8,,,,,
18091,7.4,,,,,
18093,7.3,,,,,
18095,6.8,,,,,
18097,6.3,,,,,
18099,5.5,,,,,
18101,5.4,,,,,
18103,6.7,,,,,
18105,5.7,,,,,
18107,5.6,,,,,
18109,5.5,,,,,
18111,6.5,,,,,
18113,5.2,,,,,
18115,6.2,,,,,
18117,7.3,,,,,
18119,7.3,,,,,
18121,6.8,,,,,
18123,5.9,,,,,
18125,5,,,,,
18127,6.3,,,,,
18129,4.8,,,,,
18131,5.5,,,,,
18133,6.1,,,,,
18135,6.1,,,,,
18137,6.5,,,,,
18139,5.5,,,,,
18141,6.3,,,,,
18143,6.7,,,,,
18145,5.6,,,,,
18147,5.4,,,,,
18149,7.2,,,,,
18151,5,,,,,
18153,7.1,,,,,
18155,5.7,,,,,
18157,5,,,,,
18159,5.3,,,,,
18161,5.7,,,,,
18163,5.3,,,,,
18165,7.8,,,,,
18167,7.4,,,,,
18169,5.6,,,,,
18171,6,,,,,
18173,4.9,,,,,
18175,6.2,,,,,
18177,6.5,,,,,
18179,4.8,,,,,
18181,5.3,,,,,
18183,5.1,,,,,
19001,3.6,,,,,
19003,3.1,,,,,
19005,4.7,,,,,
19007,5.7,,,,,
19009,3.4,,,,,
19011,4.1,,,,,
19013,5.1,,,,,
19015,2.8,,,,,
19017,3.3,,,,,
19019,4.5,,,,,
19021,3.6,,,,,
19023,4.2,,,,,
19025,4.4,,,,,
19027,2.9,,,,,
19029,3.8,,,,,
19031,3.4,,,,,
19033,4.4,,,,,
19035,7.1,,,,,
19037,4.2,,,,,
19039,4.1,,,,,
19041,3.5,,,,,
19043,3.8,,,,,
19045,5,,,,,
19047,3.7,,,,,
19049,2.9,,,,,
19051,4.7,,,,,
19053,3.6,,,,,
19055,3.2,,,,,
19057,4.5,,,,,
19059,4.3,,,,,
19061,3.5,,,,,
19063,3.6,,,,,
19065,4.4,,,,,
19067,3.8,,,,,
19069,3.2,,,,,
19071,3.8,,,,,
19073,3.5,,,,,
19075,3.9,,,,,
19077,3.8,,,,,
19079,4.1,,,,,
19081,2.8,,,,,
19083,3.5,,,,,
19085,3.8,,,,,
19087,3.7,,,,,
19089,3.4,,,,,
19091,3.3,,,,,
19093,3.2,,,,,
19095,3.7,,,,,
19097,4.1,,,,,
19099,4.3,,,,,
19101,4.2,,,,,
19103,2.7,,,,,
19105,3.9,,,,,
19107,3.5,,,,,
19109,2.9,,,,,
19111,5.4,,,,,
19113,4.1,,,,,
19115,3.9,,,,,
19117,3.4,,,,,
19119,2.1,,,,,
19121,3.8,,,,,
19123,4,,,,,
19125,3.3,,,,,
19127,4.8,,,,,
19129,4.2,,,,,
19131,2.9,,,,,
19133,5,,,,,
19135,5.2,,,,,
19137,3.9,,,,,
19139,4.1,,,,,
19141,2.8,,,,,
19143,2.9,,,,,
19145,4,,,,,
19147,3,,,,,
19149,3.6,,,,,
19151,3.2,,,,,
19153,4,,,,,
19155,4,,,,,
19157,3.8,,,,,
19159,3.4,,,,,
19161,3,,,,,
19163,5.2,,,,,
19165,2.8,,,,,
19167,2.3,,,,,
19169,2.4,,,,,
19171,4.5,,,,,
19173,3.2,,,,,
19175,4.4,,,,,
19177,4.3,,,,,
19179,5.3,,,,,
19181,3.6,,,,,
19183,3,,,,,
19185,4.8,,,,,
19187,4.5,,,,,
19189,3.9,,,,,
19191,3.4,,,,,
19193,4.4,,,,,
19195,3.9,,,,,
19197,3.4,,,,,
20001,4,,,,,
20003,4,,,,,
20005,5.1,,,,,
20007,2.4,,,,,
20009,3.1,,,,,
20011,4.5,,,,,
20013,3.7,,,,,
20015,4.1,,,,,
20017,3.3,,,,,
20019,4.4,,,,,
20021,4.2,,,,,
20023,2.6,,,,,
20025,2.3,,,,,
20027,3.5,,,,,
20029,3.6,,,,,
20031,5.1,,,,,
20033,2.5,,,,,
20035,4.6,,,,,
20037,4.6,,,,,
20039,3.1,,,,,
20041,4,,,,,
20043,3.6,,,,,
20045,3.3,,,,,
20047,2.6,,,,,
20049,4.6,,,,,
20051,2.4,,,,,
20053,2.6,,,,,
20055,2.9,,,,,
20057,3.3,,,,,
20059,4.2,,,,,
20061,5.9,,,,,
20063,2.1,,,,,
20065,3.1,,,,,
20067,3.3,,,,,
20069,2.2,,,,,
20071,1.8,,,,,
20073,4.1,,,,,
